City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
183,Primorsko,BG,42.2667,27.7667,70.27,70,0,3.98,clear sky,2021-08-07 20:28:42
184,Asau,RO,46.4333,26.4,63.52,91,1,0.98,clear sky,2021-08-07 20:28:42
185,Kaka,TM,37.3482,59.6143,88.43,16,0,2.06,clear sky,2021-08-07 20:28:42
186,Ukiah,US,39.1502,-123.2078,101.12,24,40,5.75,scattered clouds,2021-08-07 20:28:42
187,Bad Reichenhall,DE,47.7333,12.8833,65.61,63,75,6.91,light rain,2021-08-07 20:28:43
188,Aasiaat,GL,68.7098,-52.8699,37.98,89,100,1.92,overcast clouds,2021-08-07 20:28:43
189,Port Macquarie,AU,-31.4333,152.9167,49.96,85,3,9.22,clear sky,2021-08-07 20:28:43
190,Auki,SB,-8.7676,160.7034,76.48,85,99,3.22,overcast clouds,2021-08-07 20:28:44
191,Iqaluit,CA,63.7506,-68.5145,51.53,58,75,18.41,broken clouds,2021-08-07 20:28:44
192,Golden,US,39.7555,-105.2211,84.29,28,1,3.0,smoke,2021-08-07 20:28:44
193,Pacific Grove,US,36.6177,-121.9166,88.81,76,20,4.0,few clouds,2021-08-07 20:24:44
194,Manali,IN,13.1667,80.2667,86.09,71,25,15.66,scattered clouds,2021-08-07 20:28:44
195,Varia,FR,44.5725,-0.1104,65.01,80,0,6.82,clear sky,2021-08-07 20:28:45
196,Kutum,SD,14.2,24.6667,76.86,59,88,12.26,overcast clouds,2021-08-07 20:28:45
197,Mosquera,CO,4.7059,-74.2302,61.77,70,69,4.16,broken clouds,2021-08-07 20:28:45
198,Leningradskiy,RU,69.3833,178.4167,37.17,79,98,12.33,overcast clouds,2021-08-07 20:28:46
199,Mahebourg,MU,-20.4081,57.7,70.25,78,40,8.05,scattered clouds,2021-08-07 20:25:15
200,Qaanaaq,GL,77.484,-69.3632,41.61,75,98,1.66,overcast clouds,2021-08-07 20:28:46
201,La Ronge,CA,55.1001,-105.2842,73.62,49,20,6.91,few clouds,2021-08-07 20:28:46
202,Sitka,US,57.0531,-135.33,62.49,82,75,8.05,broken clouds,2021-08-07 20:28:47
203,Eydhafushi,MV,5.1033,73.0708,83.03,75,100,15.17,overcast clouds,2021-08-07 20:28:47
204,Hohhot,CN,40.8106,111.6522,68.29,45,0,4.47,clear sky,2021-08-07 20:28:47
205,Homer,US,59.6425,-151.5483,69.08,76,1,6.91,clear sky,2021-08-07 20:28:48
206,Teberda,RU,43.4456,41.7448,62.62,92,100,5.77,light rain,2021-08-07 20:28:48
207,Zig,US,40.127,-92.7663,87.39,70,1,7.0,clear sky,2021-08-07 20:28:48
208,Bathsheba,BB,13.2167,-59.5167,86.61,66,20,11.5,few clouds,2021-08-07 20:28:48
209,Noumea,NC,-22.2763,166.4572,57.18,69,100,5.61,overcast clouds,2021-08-07 20:28:49
210,Mogadishu,SO,2.0371,45.3438,76.33,84,65,21.88,broken clouds,2021-08-07 20:28:49
