City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
116,Bambous Virieux,MU,2021-08-07 19:07:24,-20.3428,57.7575,71.22,74,15,12.33
117,Darhan,MN,2021-08-07 19:07:24,49.4867,105.9228,57.29,80,59,2.53
118,Munirabad,IN,2021-08-07 19:07:24,15.3333,76.3333,75.29,84,50,15.39
119,Danshui,CN,2021-08-07 19:07:25,22.7984,114.4672,83.01,91,94,0.65
120,Hermanus,ZA,2021-08-07 19:05:44,-34.4187,19.2345,52.81,73,100,1.21
121,Lipin Bor,RU,2021-08-07 19:07:25,60.2622,37.9763,60.57,95,100,14.92
122,Kaitangata,NZ,2021-08-07 19:07:25,-46.2817,169.8464,36.59,88,100,2.08
123,Nishihara,JP,2021-08-07 19:07:26,26.1842,127.7558,77.05,100,90,31.07
124,Noginsk,RU,2021-08-07 19:07:26,55.8665,38.4438,73.8,58,100,9.71
125,Cidreira,BR,2021-08-07 19:07:26,-30.1811,-50.2056,65.64,77,4,11.63
126,Sitka,US,2021-08-07 19:07:26,57.0531,-135.33,60.69,88,75,8.05
127,Asau,RO,2021-08-07 19:05:02,46.4333,26.4,67.39,84,2,1.23
128,Kilakarai,IN,2021-08-07 19:07:27,9.2333,78.7833,83.53,69,98,10.22
129,Westport,US,2021-08-07 19:07:27,41.1415,-73.3579,90.16,55,1,1.01
130,Bluff,NZ,2021-08-07 19:07:27,-46.6,168.3333,34.81,76,100,2.68
131,Hofn,IS,2021-08-07 19:07:28,64.2539,-15.2082,56.21,83,100,8.93
132,Khatanga,RU,2021-08-07 19:04:50,71.9667,102.5,52.39,63,81,8.79
133,Karratha,AU,2021-08-07 19:07:28,-20.7377,116.8463,70.57,67,77,5.46
134,Saint Simons,US,2021-08-07 19:07:28,31.1352,-81.3901,86.0,83,20,3.44
135,Zhucheng,CN,2021-08-07 19:07:29,35.9947,119.3975,72.64,90,5,3.49
136,Esperance,AU,2021-08-07 19:07:29,-33.8667,121.9,57.79,74,100,2.55
137,Vardo,NO,2021-08-07 19:04:15,70.3705,31.1107,57.79,70,56,8.79
138,Ponta Do Sol,PT,2021-08-07 19:07:29,32.6667,-17.1,77.0,81,73,6.73
139,Marquette,US,2021-08-07 19:07:30,46.5333,-87.6335,67.82,74,100,6.87
140,Varadero,CU,2021-08-07 19:07:30,23.1536,-81.2514,92.16,64,56,11.05
141,Kumba,CM,2021-08-07 19:07:30,4.6363,9.4469,71.56,93,100,3.49
142,Bredasdorp,ZA,2021-08-07 19:05:51,-34.5322,20.0403,52.29,89,100,1.21
